,HORA,RPM,VEL,TEMP,LOAD
118,14:49:10.634,315.0,200.0,-5.0,49.8
119,14:49:15.733,296.0,128.0,-4.0,50.2
120,14:49:20.834,298.0,88.0,1.0,50.59
121,14:49:25.937,292.0,148.0,2.0,50.59
122,14:49:31.033,287.0,100.0,89.0,65.49
123,14:49:36.134,315.0,104.0,6.0,50.59
124,14:49:41.231,270.0,232.0,3.0,50.59
125,14:49:46.333,294.0,96.0,5.0,50.2
126,14:49:51.448,298.0,136.0,88.0,29.02
127,14:49:56.554,315.0,44.0,88.0,0.0
128,14:50:01.665,1641.0,82.2,1.0,50.2
129,14:50:06.778,256.0,148.0,87.0,0.0
130,14:50:11.900,1233.0,32.0,87.0,50.6
131,14:50:17.022,256.0,232.0,87.0,28.24
132,14:50:22.164,315.0,236.0,-4.0,50.2
133,14:50:27.267,272.0,64.0,-3.0,50.2
134,14:50:32.373,1310.0,21.0,24.2,50.59
135,14:50:37.482,984.0,10.0,24.2,50.98
136,14:50:42.589,773.0,3.0,90.0,55.69
137,14:50:47.691,765.0,0.0,24.2,50.98
138,14:50:52.792,753.0,0.0,91.0,50.6
139,14:50:57.908,1604.0,13.0,91.0,50.6
140,14:51:03.020,1921.0,25.0,24.2,50.98
141,14:51:08.137,291.0,124.0,-10.0,50.2
142,14:51:13.250,288.0,116.0,-5.0,50.2
143,14:51:18.361,289.0,104.0,-10.0,50.2
144,14:51:23.477,277.0,252.0,-24.0,50.2
145,14:51:28.601,279.0,32.0,89.0,50.2
146,14:51:33.722,788.0,82.2,-38.0,50.59
147,14:51:38.837,290.0,8.0,-40.0,50.98
148,14:51:43.940,287.0,188.0,-40.0,50.98
149,14:51:49.041,287.0,156.0,-25.0,50.98
150,14:51:54.153,1893.0,24.0,89.0,32.55
151,14:51:59.261,315.0,108.0,-11.0,50.59
152,14:52:04.375,299.0,72.0,-2.0,65.1
153,14:52:09.484,315.0,24.0,1.0,50.2
154,14:52:14.597,278.0,124.0,-4.0,77.65
155,14:52:19.713,315.0,16.0,89.0,94.12
156,14:52:24.809,315.0,40.0,1.0,50.59
157,14:52:29.908,294.0,16.0,90.0,50.6
158,14:52:35.021,783.0,0.0,90.0,54.12
159,14:52:40.113,315.0,0.0,90.0,53.33
160,14:52:45.216,315.0,220.0,-40.0,51.37
161,14:52:50.327,290.0,236.0,91.0,50.6
162,14:52:55.429,289.0,200.0,-40.0,46.27
163,14:53:00.537,751.0,0.0,91.0,64.71
164,14:53:05.651,315.0,192.0,-40.0,51.37
165,14:53:10.766,289.0,0.0,24.2,52.16
166,14:53:15.879,1772.0,13.0,91.0,50.6
167,14:53:20.991,2288.0,27.0,24.2,50.2
168,14:53:26.100,2856.0,35.0,87.0,63.53
169,14:53:31.220,315.0,36.0,87.0,52.94
170,14:53:36.345,315.0,152.0,-3.0,50.2
171,14:53:41.433,289.0,0.0,90.0,50.6
172,14:53:46.529,290.0,48.0,0.0,50.98
173,14:53:51.627,1650.0,41.0,90.0,50.6
174,14:53:56.727,287.0,216.0,0.0,50.98
175,14:54:01.832,309.0,40.0,-1.0,50.59
176,14:54:06.935,284.0,152.0,-2.0,50.59
177,14:54:12.036,256.0,164.0,-2.0,50.59
178,14:54:17.153,275.0,164.0,-11.0,50.2
179,14:54:22.261,276.0,36.0,-28.0,50.2
180,14:54:27.372,283.0,100.0,89.0,53.33
181,14:54:32.483,315.0,212.0,-40.0,50.98
182,14:54:37.593,288.0,236.0,-39.0,50.98
183,14:54:42.692,286.0,184.0,90.0,59.61
184,14:54:47.797,315.0,200.0,-40.0,52.16
185,14:54:52.911,315.0,216.0,-40.0,52.94
186,14:54:58.013,315.0,0.0,-40.0,51.37
187,14:55:03.107,288.0,220.0,91.0,49.8
188,14:55:08.216,315.0,0.0,91.0,50.2
189,14:55:13.331,782.0,82.2,-35.0,51.37
190,14:55:18.441,297.0,136.0,90.0,23.14
191,14:55:23.555,315.0,20.0,88.0,25.88
192,14:55:28.666,2057.0,26.0,87.0,61.96
193,14:55:33.781,1630.0,31.0,24.2,49.8
194,14:55:38.889,285.0,64.0,88.0,27.45
195,14:55:43.988,315.0,27.0,89.0,29.8
196,14:55:49.125,1335.0,24.0,24.2,50.59
197,14:55:54.266,1079.0,19.0,89.0,50.6
198,14:55:59.408,805.0,82.2,90.0,52.94
199,14:56:04.552,775.0,82.2,-40.0,50.98
200,14:56:09.694,760.0,0.0,90.0,50.6
201,14:56:14.838,748.0,0.0,91.0,50.6
202,14:56:19.978,750.0,0.0,24.2,51.37
203,14:56:25.097,757.0,0.0,24.2,51.37
204,14:56:30.250,765.0,0.0,24.2,51.37
205,14:56:35.405,1218.0,82.2,-34.0,66.27
206,14:56:40.544,1939.0,23.0,89.0,56.08
207,14:56:45.688,1370.0,25.0,24.2,50.2
208,14:56:50.870,1536.0,29.0,88.0,50.6
209,14:56:55.994,1653.0,31.0,88.0,50.6
210,14:57:01.157,1567.0,30.0,89.0,50.6
211,14:57:06.341,2104.0,82.2,-1.0,50.59
212,14:57:11.522,256.0,34.0,89.0,23.53
213,14:57:16.712,1638.0,33.0,89.0,40.0
214,14:57:21.920,1118.0,26.0,24.2,50.59
215,14:57:27.106,891.0,10.0,24.2,50.59
216,14:57:32.314,867.0,9.0,24.2,50.98
217,14:57:37.522,794.0,4.0,24.2,50.98
218,14:57:42.729,770.0,0.0,90.0,50.6
219,14:57:47.942,897.0,6.0,24.2,50.98
220,14:57:53.157,787.0,4.0,90.0,50.98
221,14:57:58.377,816.0,4.0,91.0,50.6
222,14:58:03.593,760.0,0.0,91.0,50.6
223,14:58:08.835,765.0,0.0,91.0,51.76
224,14:58:14.080,767.0,3.0,91.0,43.14
225,14:58:19.320,1455.0,19.0,90.0,50.6
226,14:58:24.536,272.0,68.0,-25.0,50.59
227,14:58:29.801,854.0,7.0,88.0,50.6
228,14:58:35.085,1252.0,14.0,88.0,50.6
229,14:58:40.351,822.0,3.0,24.2,50.59
230,14:58:45.622,759.0,0.0,24.2,50.98
231,14:58:50.878,761.0,0.0,90.0,52.94
232,14:58:56.163,758.0,0.0,91.0,60.78
233,14:59:01.456,2141.0,17.0,90.0,50.6
234,14:59:06.740,2300.0,29.0,24.2,50.59
235,14:59:12.020,295.0,30.0,24.2,51.76
236,14:59:17.301,2678.0,33.0,88.0,30.98
237,14:59:22.591,1323.0,23.0,89.0,34.51
238,14:59:27.877,853.0,5.0,24.2,50.98
239,14:59:33.171,761.0,0.0,90.0,50.6
240,14:59:38.485,759.0,0.0,91.0,50.6
241,14:59:43.804,750.0,82.2,-40.0,51.37
242,14:59:49.154,759.0,0.0,24.2,51.76
243,14:59:54.930,288.0,184.0,-40.0,51.76
244,15:00:00.247,288.0,0.0,91.0,51.37
245,15:00:05.587,749.0,0.0,24.2,51.37
246,15:00:10.946,760.0,0.0,24.2,51.37
247,15:00:16.292,289.0,140.0,-39.0,50.98
248,15:00:21.605,1555.0,82.2,-29.0,50.59
249,15:00:26.963,1268.0,16.0,88.0,50.6
250,15:00:32.319,1145.0,14.0,24.2,50.2
